Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,3D_Bench,2D_Bench
GeForce 9400M,GPU,2008-10-15,65,12,144,314,580,Unknown,NVIDIA,75,102
GeForce 9400M G,GPU,2008-10-15,65,12,144,314,450,Unknown,NVIDIA,68,61
GeForce G102M,GPU,2009-01-08,65,14,144,314,450,Unknown,NVIDIA,134,137
GeForce G205M,GPU,2009-01-08,65,14,144,314,450,Unknown,NVIDIA,92,294
GeForce GT 120M,GPU,2008-12-12,55,14,121,314,500,TSMC,NVIDIA,266,272
GeForce GT 120M,GPU,2009-06-15,55,14,121,314,500,TSMC,NVIDIA,266,272
GeForce GT 220M,GPU,2009-06-15,55,14,121,314,500,TSMC,NVIDIA,121,92
GeForce GT 320M,GPU,2009-06-15,55,14,121,314,500,TSMC,NVIDIA,107,41
GeForce 9500M G,GPU,2008-06-03,65,20,144,314,500,UMC,NVIDIA,122,172
GeForce 9600M GS,GPU,2008-06-03,55,20,121,314,430,TSMC,NVIDIA,119,67
ION,GPU,2008-06-03,65,20,144,314,450,Unknown,NVIDIA,86,20
GeForce 9600M GT,GPU,2008-10-25,55,23,121,314,500,TSMC,NVIDIA,132,39
GeForce 9600M GT,GPU,2008-06-04,55,23,121,314,500,TSMC,NVIDIA,132,39
GeForce 9650M GT,GPU,2008-08-19,55,23,121,314,550,TSMC,NVIDIA,137,62
GeForce GT 130M,GPU,2009-01-08,55,23,121,314,600,TSMC,NVIDIA,146,35
GeForce GT 240M,GPU,2010-01-15,55,23,121,314,600,TSMC,NVIDIA,205,61
GeForce G210,GPU,2009-05-26,55,31,121,314,550,TSMC,NVIDIA,103,50
Quadro FX 380,GPU,2009-03-30,65,34,144,314,450,UMC,NVIDIA,186,151
Quadro FX 770M,GPU,2008-08-14,65,35,144,314,500,UMC,NVIDIA,198,92
GeForce 9200,GPU,2007-04-17,65,40,144,314,450,Unknown,NVIDIA,171,31
GeForce 9300 / nForce 730i,GPU,2007-04-17,65,40,144,314,450,Unknown,NVIDIA,129,367
GeForce 9400,GPU,2007-04-17,65,40,144,314,450,Unknown,NVIDIA,112,99
GeForce 9500 GS,GPU,2008-07-29,55,40,121,314,500,TSMC,NVIDIA,157,66
GeForce 9500 GS,GPU,2008-07-29,65,40,144,314,550,UMC,NVIDIA,157,66
Quadro FX 580,GPU,2009-04-09,55,40,121,314,450,TSMC,NVIDIA,155,58
GeForce 9700M GT,GPU,2008-07-29,65,45,144,314,625,UMC,NVIDIA,217,156
GeForce 9400 GT,GPU,2008-08-27,55,50,121,314,550,TSMC,NVIDIA,105,60
GeForce 9400 GT,GPU,2008-08-27,55,50,121,314,550,TSMC,NVIDIA,105,60
GeForce 9500 GT,GPU,2008-07-29,55,50,121,314,550,TSMC,NVIDIA,135,40
GeForce 9500 GT,GPU,2008-07-29,65,50,144,314,600,UMC,NVIDIA,135,40
GeForce 9500 GT,GPU,2010-05-19,55,50,121,314,550,TSMC,NVIDIA,135,40
GeForce GT 120,GPU,2009-03-10,55,50,121,314,738,TSMC,NVIDIA,175,91
GeForce GT 120,GPU,2009-01-20,55,50,121,314,550,TSMC,NVIDIA,175,91
Quadro FX 1700M,GPU,2008-10-01,65,50,144,314,625,UMC,NVIDIA,173,135
Radeon X1800 GTO,GPU,2006-03-01,90,48,288,321,500,TSMC,ATI,141,415
Radeon X1800 GTO,GPU,2005-10-01,90,70,288,321,500,TSMC,ATI,141,415
FireGL V7300,GPU,2005-10-01,90,97,288,321,594,TSMC,ATI,128,322
FireGL V7350,GPU,2005-10-01,90,111,288,321,600,TSMC,ATI,111,344
Radeon X1800 GTO,GPU,2005-12-20,90,113,288,321,600,TSMC,ATI,141,415
Radeon X1800 GTO,GPU,2005-10-01,90,113,288,321,600,TSMC,ATI,141,415
Mobility Radeon X1700,GPU,2007-11-05,80,44,131,330,587,TSMC,ATI,105,228
Radeon X1650 PRO,GPU,2006-10-15,80,44,131,330,600,TSMC,ATI,85,241
Radeon X1650 PRO,GPU,2006-08-23,80,44,131,330,600,TSMC,ATI,85,241
Radeon X1650 GTO,GPU,2006-10-30,80,55,230,330,540,TSMC,ATI,75,384
Radeon X1650 Pro,GPU,2006-10-30,80,55,230,330,525,TSMC,ATI,85,241
Radeon X1950 GT,GPU,2007-01-29,80,57,230,330,500,TSMC,ATI,106,279
Radeon X1950 GT,GPU,2007-02-10,80,57,230,330,500,TSMC,ATI,106,279
Radeon X1950 PRO,GPU,2006-10-01,80,66,230,330,575,TSMC,ATI,113,318
Radeon X1950 PRO,GPU,2006-10-25,80,66,230,330,575,TSMC,ATI,113,318
Radeon X1950 CrossFire Edition,GPU,2007-01-10,80,130,230,330,575,TSMC,ATI,151,466
Radeon HD 7450M,GPU,2012-01-07,40,7,67,370,700,TSMC,AMD,330,441
Radeon HD 6450,GPU,2011-02-07,40,18,67,370,625,TSMC,AMD,200,120
Radeon HD 6450,GPU,2011-04-07,40,18,67,370,625,TSMC,AMD,200,120
Radeon HD 7450,GPU,2012-01-05,40,18,67,370,625,TSMC,AMD,221,147
Radeon R5 235X,GPU,2013-12-21,40,18,67,370,875,TSMC,AMD,280,210
Radeon R5 230,GPU,2014-04-03,40,19,67,370,625,TSMC,AMD,222,255
Radeon R5 230,GPU,2013-12-21,40,19,67,370,625,TSMC,AMD,222,255
Radeon E6460,GPU,2011-04-07,40,25,67,370,600,TSMC,AMD,324,225
Radeon E6465,GPU,2015-09-29,40,25,67,370,600,TSMC,AMD,231,354
Radeon HD 6450A,GPU,2011-04-07,40,25,67,370,625,TSMC,AMD,260,208
Radeon HD 6470M,GPU,2011-01-04,40,25,67,370,700,TSMC,AMD,228,104
Radeon HD 7450A,GPU,2012-01-05,40,25,67,370,625,TSMC,AMD,288,385
Radeon HD 7470M,GPU,2012-01-07,40,25,67,370,750,TSMC,AMD,408,393
Radeon HD 7470,GPU,2012-01-05,40,27,67,370,750,TSMC,AMD,316,177
Radeon HD 8490,GPU,2013-07-23,40,35,67,370,875,TSMC,AMD,265,173
Radeon R5 220,GPU,2014-01-01,40,35,67,370,775,TSMC,AMD,135,112
Radeon R5 235,GPU,2013-12-21,40,35,67,370,775,TSMC,AMD,329,176
Radeon R5 310,GPU,2015-05-05,40,35,67,370,775,TSMC,AMD,332,545
Radeon R5 310,GPU,2015-05-05,40,35,67,370,875,TSMC,AMD,332,545
Mobility Radeon HD 3670,GPU,2008-01-07,55,30,135,378,680,TSMC,ATI,232,331
Radeon HD 2600 XT,GPU,2007-06-28,55,45,135,378,722,TSMC,ATI,283,371
Mobility Radeon HD 4570,GPU,2009-11-22,55,65,135,378,796,TSMC,ATI,135,26
Radeon HD 3650 AGP,GPU,2008-01-20,55,65,135,378,725,TSMC,ATI,150,155
Radeon HD 3670,GPU,2008-09-11,55,65,135,378,796,TSMC,ATI,151,62
Radeon X1900 GT,GPU,2006-05-01,90,75,352,384,575,TSMC,ATI,146,409
Radeon X1950 GT,GPU,2006-10-17,90,96,352,384,625,TSMC,ATI,106,279
Radeon X1900 CrossFire Edition,GPU,2006-01-24,90,100,352,384,625,TSMC,ATI,137,507
Radeon X1900 GT,GPU,2006-01-01,90,135,352,384,650,TSMC,ATI,146,409
Radeon HD 2600 PRO,GPU,2007-06-28,65,35,153,390,600,TSMC,ATI,211,337
Radeon HD 2600 PRO,GPU,2007-06-28,65,35,153,390,594,TSMC,ATI,211,337
Radeon HD 2600 XT,GPU,2007-06-28,65,45,153,390,800,TSMC,ATI,283,371
Radeon HD 2600 XT,GPU,2008-02-21,65,45,153,390,700,TSMC,ATI,283,371
Radeon HD 2600 XT,GPU,2007-06-28,65,50,153,390,800,TSMC,ATI,283,371
FireGL V3600,GPU,2007-06-28,65,73,153,390,600,TSMC,ATI,180,399
FireGL V5600,GPU,2007-06-28,65,89,153,390,800,TSMC,ATI,341,445
Radeon HD 6250,GPU,2012-10-09,40,7,75,450,276,TSMC,AMD,94,32
Radeon HD 6250,GPU,2012-04-04,40,9,75,450,277,TSMC,AMD,94,32
Radeon HD 6250,GPU,2010-11-09,40,9,75,450,500,TSMC,AMD,94,32
Radeon HD 6290,GPU,2011-01-07,40,9,75,450,276,TSMC,AMD,109,34
Radeon HD 6310,GPU,2010-11-09,40,18,75,450,488,TSMC,AMD,123,39
Radeon HD 6310,GPU,2010-11-09,40,18,75,450,276,TSMC,AMD,123,39
Radeon HD 6320,GPU,2011-08-15,40,18,75,450,508,TSMC,AMD,148,45
Radeon HD 7290,GPU,2012-06-06,40,18,75,450,276,TSMC,AMD,115,51
Radeon HD 7310,GPU,2012-06-06,40,18,75,450,500,TSMC,AMD,130,45
Radeon HD 7340,GPU,2012-06-06,40,18,75,450,523,TSMC,AMD,157,57
GeForce 320M,GPU,2010-04-01,40,23,100,486,450,Unknown,NVIDIA,219,69
GeForce GT 230M,GPU,2009-06-15,40,23,100,486,500,TSMC,NVIDIA,201,47
GeForce GT 240M,GPU,2009-06-15,40,23,100,486,550,TSMC,NVIDIA,205,61
GeForce GT 320M,GPU,2010-03-03,40,23,100,486,500,TSMC,NVIDIA,107,41
GeForce GT 325M,GPU,2010-01-10,40,23,100,486,450,TSMC,NVIDIA,171,52
GeForce GT 330M,GPU,2010-04-26,40,23,100,486,500,TSMC,NVIDIA,209,57
GeForce GT 330M,GPU,2010-01-10,40,23,100,486,575,TSMC,NVIDIA,209,57
GeForce 405,GPU,2010-09-03,40,25,100,486,475,TSMC,NVIDIA,122,60
GeForce 405,GPU,2010-09-03,40,25,100,486,475,TSMC,NVIDIA,122,60
GeForce 505,GPU,2013-02-17,40,25,100,486,615,TSMC,NVIDIA,187,587
GeForce 210,GPU,2009-09-04,40,31,100,486,475,TSMC,NVIDIA,97,39
GeForce 210,GPU,2009-10-12,40,31,100,486,475,TSMC,NVIDIA,97,39
GeForce GT 415,GPU,2010-09-03,40,32,100,486,625,TSMC,NVIDIA,248,363
Quadro 400,GPU,2011-04-05,40,32,100,486,450,TSMC,NVIDIA,146,67
GeForce 315,GPU,2010-03-31,40,33,100,486,475,TSMC,NVIDIA,159,66
NVS 5100M,GPU,2010-01-07,40,35,100,486,550,TSMC,NVIDIA,190,87
Quadro FX 880M,GPU,2010-01-07,40,35,100,486,550,TSMC,NVIDIA,219,80
GeForce GT 220,GPU,2009-10-12,,58,100,486,615,TSMC,NVIDIA,211,56
GeForce GTS 150M,GPU,2009-03-03,65,45,240,505,400,TSMC,NVIDIA,504,407
GeForce GT 220,GPU,2010-01-26,65,58,240,505,600,TSMC,NVIDIA,211,56
Quadro FX 1800,GPU,2009-03-30,65,59,240,505,550,TSMC,NVIDIA,405,90
GeForce 9700M GTS,GPU,2008-07-29,65,60,240,505,530,TSMC,NVIDIA,326,106
GeForce 9800M GS,GPU,2008-11-01,65,60,240,505,530,TSMC,NVIDIA,460,109
GeForce GTS 160M,GPU,2009-03-03,65,60,240,505,600,TSMC,NVIDIA,679,308
Quadro FX 2700M,GPU,2008-08-14,65,65,240,505,530,TSMC,NVIDIA,358,74
GeForce 9800 S,GPU,2008-07-15,65,75,240,505,600,TSMC,NVIDIA,636,427
GeForce 9800M GTS,GPU,2008-07-29,65,75,240,505,600,TSMC,NVIDIA,379,135
GeForce 9800M GTS,GPU,2008-08-21,65,75,240,505,600,TSMC,NVIDIA,379,135
GeForce GT 130,GPU,2008-12-12,55,75,196,505,600,TSMC,NVIDIA,347,143
GeForce GT 130,GPU,2009-03-10,55,75,196,505,500,TSMC,NVIDIA,347,143
GeForce GT 230,GPU,2009-10-12,55,75,196,505,650,TSMC,NVIDIA,322,80
GeForce 9600 GSO 512,GPU,2008-10-23,65,90,240,505,650,TSMC,NVIDIA,345,111
GeForce 9600 GT,GPU,2008-02-21,65,95,240,505,600,TSMC,NVIDIA,505,60
GeForce 9600 GT,GPU,2008-12-22,65,95,240,505,600,TSMC,NVIDIA,505,60
GeForce 9600 GT,GPU,2008-02-21,65,95,240,505,650,TSMC,NVIDIA,505,60
GeForce GT 140,GPU,2009-03-10,55,105,196,505,650,TSMC,NVIDIA,658,225
Mobility Radeon HD 550v,GPU,2010-05-05,55,10,146,514,450,TSMC,ATI,266,398
Mobility Radeon HD 560v,GPU,2010-05-05,55,15,146,514,550,TSMC,ATI,318,366
Mobility Radeon HD 565v,GPU,2010-05-05,55,20,146,514,675,TSMC,ATI,353,318
Radeon E4690,GPU,2009-06-01,55,30,146,514,600,TSMC,ATI,405,347
Mobility Radeon HD 4650,GPU,2009-01-09,55,35,146,514,500,TSMC,ATI,401,320
Mobility Radeon HD 4670,GPU,2009-01-09,55,35,146,514,675,TSMC,ATI,463,375
Mobility Radeon HD 4670,GPU,2009-09-16,55,35,146,514,680,TSMC,ATI,463,375
Mobility Radeon HD 5165,GPU,2010-01-07,55,35,146,514,600,TSMC,ATI,284,362
Radeon HD 4650,GPU,2008-09-10,55,48,146,514,600,TSMC,ATI,219,39
FirePro V5700,GPU,2008-08-08,55,56,146,514,700,TSMC,ATI,465,469
Radeon HD 4670,GPU,2009-07-17,55,59,146,514,750,TSMC,ATI,384,50
Radeon HD 4670,GPU,2008-09-10,55,59,146,514,750,TSMC,ATI,384,50
Radeon HD 4670,GPU,2008-09-10,55,118,146,514,750,TSMC,ATI,384,50
GeForce 610M,GPU,2011-12-01,28,12,116,585,625,TSMC,NVIDIA,292,103
GeForce 610M,GPU,2011-12-01,40,12,116,585,672,TSMC,NVIDIA,292,103
GeForce GT 415M,GPU,2010-09-03,40,12,116,585,500,TSMC,NVIDIA,286,221
GeForce GT 520M,GPU,2011-01-05,40,12,116,585,672,TSMC,NVIDIA,288,74
GeForce 705M,GPU,2013-09-27,28,15,116,585,738,TSMC,NVIDIA,456,455
GeForce 710M,GPU,2013-01-09,28,15,116,585,775,TSMC,NVIDIA,450,116
GeForce 800M,GPU,2014-03-17,28,15,116,585,738,TSMC,NVIDIA,468,388
GeForce 810M,GPU,2014-03-24,28,15,116,585,738,TSMC,NVIDIA,402,71
GeForce 820A,GPU,2014-03-17,28,15,116,585,775,TSMC,NVIDIA,568,162
GeForce 820M,GPU,2013-11-27,28,15,116,585,625,TSMC,NVIDIA,511,111
GeForce GT 620M,GPU,2012-08-23,40,15,116,585,660,TSMC,NVIDIA,431,129
GeForce GT 620M,GPU,2012-03-22,28,15,116,585,625,TSMC,NVIDIA,431,129
GeForce GT 625M,GPU,2012-10-01,28,15,116,585,625,TSMC,NVIDIA,435,210
GeForce GT 710M,GPU,2013-01-09,28,15,116,585,775,TSMC,NVIDIA,444,123
GeForce GT 820M,GPU,2013-11-27,28,15,116,585,775,TSMC,NVIDIA,627,153
GeForce GT 420M,GPU,2010-09-03,40,23,116,585,500,TSMC,NVIDIA,418,83
GeForce GT 425M,GPU,2010-09-03,40,23,116,585,560,TSMC,NVIDIA,517,175
GeForce GT 525M,GPU,2011-01-05,40,23,116,585,600,TSMC,NVIDIA,460,95
NVS 5200M,GPU,2012-09-17,40,25,116,585,672,TSMC,NVIDIA,534,193
NVS 5200M,GPU,2012-06-01,28,25,116,585,625,TSMC,NVIDIA,534,193
GeForce GT 520,GPU,2012-02-01,40,29,116,585,700,TSMC,NVIDIA,297,126
GeForce GT 610,GPU,2016-04-02,40,29,116,585,701,TSMC,NVIDIA,303,127
GeForce GT 640M LE,GPU,2012-05-04,40,32,116,585,753,TSMC,NVIDIA,673,166
GeForce 710A,GPU,2013-04-01,28,33,116,585,775,TSMC,NVIDIA,451,258
GeForce 720A,GPU,2014-07-01,28,33,116,585,775,TSMC,NVIDIA,725,690
GeForce GT 630M,GPU,2012-03-22,40,33,116,585,660,TSMC,NVIDIA,549,151
GeForce GT 630M,GPU,2012-03-22,28,33,116,585,800,TSMC,NVIDIA,549,151
GeForce GT 635M,GPU,2012-03-22,40,33,116,585,660,TSMC,NVIDIA,563,173
GeForce GT 720A,GPU,2014-07-01,28,33,116,585,775,TSMC,NVIDIA,601,221
GeForce GT 720M,GPU,2013-04-01,28,33,116,585,625,TSMC,NVIDIA,467,116
GeForce GT 720M,GPU,2013-04-01,28,33,116,585,775,TSMC,NVIDIA,467,116
GeForce GT 435M,GPU,2010-09-03,40,35,116,585,650,TSMC,NVIDIA,521,208
GeForce GT 540M,GPU,2011-01-05,40,35,116,585,672,TSMC,NVIDIA,493,86
GeForce GT 550M,GPU,2011-01-05,40,35,116,585,740,TSMC,NVIDIA,580,126
GeForce GT 555M,GPU,2011-06-15,40,35,116,585,753,TSMC,NVIDIA,688,124
GeForce GT 635M,GPU,2012-03-22,40,35,116,585,660,TSMC,NVIDIA,563,173
NVS 5400M,GPU,2012-06-01,40,35,116,585,660,TSMC,NVIDIA,635,184
Quadro 500M,GPU,2011-02-22,40,35,116,585,700,TSMC,NVIDIA,664,588
Quadro 600,GPU,2010-12-13,40,40,116,585,640,TSMC,NVIDIA,546,225
Quadro 1000M,GPU,2011-01-13,40,45,116,585,700,TSMC,NVIDIA,599,201
GeForce 615,GPU,2012-05-15,40,49,116,585,660,TSMC,NVIDIA,552,412
GeForce GT 430,GPU,2010-10-11,40,49,116,585,700,TSMC,NVIDIA,603,191
GeForce GT 430,GPU,2010-10-11,40,49,116,585,700,TSMC,NVIDIA,603,191
GeForce GT 620,GPU,2012-05-15,40,49,116,585,700,TSMC,NVIDIA,365,162
GeForce GT 730,GPU,2014-06-18,40,49,116,585,700,TSMC,NVIDIA,812,238
GeForce GT 420,GPU,2010-09-03,40,50,116,585,700,TSMC,NVIDIA,411,187
GeForce GT 530,GPU,2011-05-14,40,50,116,585,700,TSMC,NVIDIA,676,227
GeForce GT 440,GPU,2011-02-01,40,65,116,585,810,TSMC,NVIDIA,766,238
GeForce GT 440,GPU,2011-02-09,40,65,116,585,810,TSMC,NVIDIA,766,238
GeForce GT 630,GPU,2012-05-15,40,65,116,585,810,TSMC,NVIDIA,683,208
Mobility Radeon HD 5650,GPU,2010-01-07,40,15,104,627,450,TSMC,ATI,451,143
Radeon HD 5670,GPU,2010-04-22,40,15,104,627,650,TSMC,ATI,784,279
Radeon HD 7470,GPU,2012-01-05,40,18,104,627,775,TSMC,AMD,316,177
Mobility Radeon HD 5570,GPU,2012-11-23,40,20,104,627,550,TSMC,ATI,544,246
Radeon HD 5750,GPU,2010-01-07,40,25,104,627,550,TSMC,ATI,1156,336
Mobility Radeon HD 5730,GPU,2010-01-07,40,26,104,627,650,TSMC,ATI,487,144
Radeon HD 6550A,GPU,2010-11-26,40,26,104,627,600,TSMC,AMD,708,609
Radeon HD 5770,GPU,2010-01-07,40,30,104,627,650,TSMC,ATI,1351,328
Radeon HD 6570,GPU,2010-11-26,40,30,104,627,650,TSMC,AMD,496,193
Radeon HD 6550A,GPU,2011-02-07,40,35,104,627,550,TSMC,AMD,708,609
Radeon HD 5550,GPU,2010-02-09,40,39,104,627,550,TSMC,ATI,383,187
Radeon HD 5570,GPU,2010-02-09,40,39,104,627,625,TSMC,ATI,473,177
Radeon HD 5570,GPU,2010-02-09,40,39,104,627,550,TSMC,ATI,473,177
Radeon HD 5570,GPU,2010-02-09,40,39,104,627,650,TSMC,ATI,473,177
Radeon HD 6490M,GPU,2011-07-04,40,39,104,627,550,TSMC,AMD,378,514
Radeon HD 6610M,GPU,2013-03-20,40,39,104,627,650,TSMC,AMD,565,527
Radeon HD 7570,GPU,2013-03-20,40,39,104,627,650,TSMC,AMD,613,265
Radeon HD 8510G,GPU,2013-04-24,40,39,104,627,650,TSMC,AMD,361,105
FirePro V3800,GPU,2010-04-26,40,43,104,627,650,TSMC,ATI,332,188
Radeon HD 5670,GPU,2010-01-14,40,64,104,627,775,TSMC,ATI,784,279
Mobility Radeon HD 3850,GPU,2008-06-04,55,35,192,666,580,TSMC,ATI,366,248
Mobility Radeon HD 3870,GPU,2008-06-04,55,55,192,666,660,TSMC,ATI,548,288
Mobility Radeon HD 3850,GPU,2008-06-04,55,70,192,666,580,TSMC,ATI,366,248
Radeon HD 3850,GPU,2007-11-19,55,75,192,666,668,TSMC,ATI,410,43
Radeon HD 3850,GPU,2008-01-03,55,75,192,666,668,TSMC,ATI,410,43
FireStream 9170,GPU,2007-11-08,55,105,192,666,800,TSMC,AMD,647,493
Radeon HD 3870,GPU,NaT,55,106,192,666,777,TSMC,ATI,576,82
Radeon HD 3870,GPU,2008-06-12,55,106,192,666,777,TSMC,ATI,576,82
Radeon HD 3870,GPU,2007-11-19,55,106,192,666,777,TSMC,ATI,576,82
Mobility Radeon HD 3870 X2,GPU,2008-09-01,55,110,192,666,660,TSMC,ATI,478,187
Radeon HD 3850 X2,GPU,2008-04-04,55,140,192,666,669,TSMC,ATI,822,422
Radeon HD 3850,GPU,NaT,55,145,192,666,669,TSMC,ATI,410,43
Radeon HD 3870 X2,GPU,2008-01-26,55,165,192,666,825,TSMC,ATI,709,224
Quadro FX 4600,GPU,2007-03-05,90,134,484,681,500,TSMC,NVIDIA,437,202
GeForce 8800 GTS,GPU,2007-02-12,90,143,484,681,513,TSMC,NVIDIA,440,56
GeForce 8800 GTS,GPU,2006-11-08,90,143,484,681,513,TSMC,NVIDIA,440,56
GeForce 8800 GTS,GPU,2007-11-19,90,150,484,681,500,TSMC,NVIDIA,440,56
Quadro FX 4600,GPU,2007-03-05,90,154,484,681,500,TSMC,NVIDIA,437,202
GeForce 8800 GTX,GPU,2006-11-08,90,155,484,681,576,TSMC,NVIDIA,597,105
GeForce 8800 Ultra,GPU,2007-05-02,90,171,484,681,612,TSMC,NVIDIA,639,372
Quadro FX 5600,GPU,2007-03-05,90,171,484,681,600,TSMC,NVIDIA,562,168
Quadro FX 5600,GPU,2007-03-05,90,171,484,681,600,TSMC,NVIDIA,562,168
Radeon R5 M330,GPU,2015-05-05,28,18,56,690,955,TSMC,AMD,596,519
Radeon 520,GPU,2017-04-18,28,50,56,690,1030,TSMC,AMD,833,216
Radeon R5 330,GPU,2015-05-05,28,50,56,690,830,TSMC,AMD,513,200
Radeon R5 435,GPU,2016-06-30,28,50,56,690,1030,TSMC,AMD,841,235
Radeon HD 7500G,GPU,2012-01-07,40,11,104,716,450,TSMC,AMD,330,114
Radeon HD 7570M,GPU,2012-01-07,40,13,104,716,500,TSMC,AMD,445,197
Radeon HD 7550M,GPU,2012-01-07,40,14,104,716,500,TSMC,AMD,465,403
Radeon HD 7550M,GPU,2012-01-07,40,14,104,716,450,TSMC,AMD,465,403
Radeon HD 7610M,GPU,2012-01-07,40,20,104,716,450,TSMC,AMD,632,479
Radeon HD 7650M,GPU,2012-03-28,40,20,104,716,485,TSMC,AMD,451,69
Radeon HD 7650M,GPU,2012-01-07,40,20,104,716,450,TSMC,AMD,451,69
Radeon HD 7670M,GPU,2012-07-01,40,20,104,716,600,TSMC,AMD,485,123
Radeon HD 7670M,GPU,2012-02-17,40,20,104,716,600,TSMC,AMD,485,123
Radeon HD 7690M,GPU,2011-12-25,40,20,104,716,725,TSMC,AMD,1003,576
Radeon HD 7690M,GPU,2012-01-07,40,20,104,716,600,TSMC,AMD,1003,576
Radeon HD 7690M XT,GPU,2012-01-04,40,25,104,716,725,TSMC,AMD,1009,552
Radeon HD 6610M,GPU,2011-01-04,40,26,104,716,450,TSMC,AMD,565,527
Radeon HD 6620G,GPU,2011-01-04,40,26,104,716,450,TSMC,AMD,355,107
Radeon HD 6630M,GPU,2011-01-04,40,26,104,716,500,TSMC,AMD,685,390
Radeon HD 6570,GPU,2011-04-25,40,30,104,716,600,TSMC,AMD,496,193
FirePro M2000,GPU,2012-07-01,40,33,118,716,500,TSMC,AMD,406,206
Radeon HD 7650A,GPU,2012-01-05,40,33,118,716,600,TSMC,AMD,564,311
FirePro M5950,GPU,2011-01-04,40,35,104,716,725,TSMC,AMD,1314,574
Radeon HD 6750M,GPU,2011-01-04,40,35,104,716,600,TSMC,AMD,937,487
Radeon HD 6750M,GPU,2011-04-18,40,35,104,716,598,TSMC,AMD,937,487
Radeon HD 6770M,GPU,2011-01-04,40,35,104,716,725,TSMC,AMD,964,572
Radeon HD 6770M,GPU,2011-01-28,40,35,104,716,725,TSMC,AMD,964,572
Radeon HD 5570,GPU,2011-10-11,40,39,118,716,650,TSMC,ATI,473,177
Radeon HD 6570,GPU,2011-02-07,40,44,118,716,650,TSMC,AMD,496,193
Radeon HD 6570,GPU,2011-02-07,40,44,104,716,650,TSMC,AMD,496,193
Radeon E6760,GPU,2011-05-02,40,45,118,716,600,TSMC,AMD,877,485
Radeon E6760,GPU,2011-05-02,40,45,118,716,600,TSMC,AMD,877,485
Radeon HD 6650A,GPU,2011-04-19,40,45,118,716,600,TSMC,AMD,836,418
Radeon HD 6670,GPU,2011-04-19,40,45,118,716,600,TSMC,AMD,745,236
Radeon HD 7670A,GPU,2012-01-05,40,45,118,716,600,TSMC,AMD,1050,702
FirePro V3900,GPU,2012-02-07,40,50,118,716,650,TSMC,AMD,662,242
Radeon HD 6570,GPU,2011-04-19,40,60,118,716,650,TSMC,AMD,496,193
Radeon HD 7570,GPU,2012-01-05,40,60,118,716,650,TSMC,AMD,613,265
Radeon HD 8570,GPU,2013-07-23,40,60,118,716,650,TSMC,AMD,991,308
Radeon HD 6670,GPU,2011-04-19,40,66,118,716,800,TSMC,AMD,745,236
Radeon HD 7670,GPU,2012-01-05,40,66,118,716,800,TSMC,AMD,813,301
FirePro V4900,GPU,2011-11-01,40,75,118,716,800,TSMC,AMD,974,318
FireGL V7600,GPU,2007-11-06,80,127,420,720,600,TSMC,ATI,616,488
Radeon HD 2900 GT,GPU,2007-11-06,80,150,420,720,601,TSMC,ATI,292,344
FireGL V8600,GPU,2007-05-14,80,159,420,720,688,TSMC,ATI,839,406
Radeon HD 2900 PRO,GPU,2007-12-12,80,200,420,720,600,TSMC,ATI,628,397
Radeon HD 2900 XT,GPU,2007-05-14,80,215,420,720,743,TSMC,ATI,660,397
Radeon HD 2900 XT,GPU,NaT,80,240,420,720,743,TSMC,ATI,660,397
GeForce GT 335M,GPU,2010-01-07,40,28,144,727,450,TSMC,NVIDIA,400,49
GeForce GTS 250M,GPU,2009-06-15,40,28,144,727,500,TSMC,NVIDIA,569,69
GeForce GTS 350M,GPU,2010-01-07,40,28,144,727,500,TSMC,NVIDIA,408,113
GeForce 315,GPU,2011-04-28,40,33,144,727,506,TSMC,NVIDIA,159,66
GeForce GTS 360M,GPU,2010-01-07,40,38,144,727,550,TSMC,NVIDIA,655,71
GeForce GT 320,GPU,2010-02-02,40,43,144,727,540,TSMC,NVIDIA,444,92
Quadro FX 1800M,GPU,2009-06-15,40,45,144,727,561,TSMC,NVIDIA,469,73
GeForce GT 220,GPU,2009-10-12,40,58,144,727,506,TSMC,NVIDIA,211,56
GeForce GT 240,GPU,2009-11-17,40,69,144,727,550,TSMC,NVIDIA,543,78
GeForce GT 340,GPU,2010-02-02,40,69,144,727,550,TSMC,NVIDIA,774,469
GeForce GT 330,GPU,2010-02-02,40,75,144,727,550,TSMC,NVIDIA,422,119
GeForce 8800M GTS,GPU,2007-11-01,65,50,324,754,500,TSMC,NVIDIA,382,159
GeForce 8800M GTX,GPU,2007-11-01,65,65,324,754,500,TSMC,NVIDIA,462,175
GeForce 9800M GT,GPU,2008-07-29,65,65,324,754,500,TSMC,NVIDIA,424,130
GeForce GTX 260M,GPU,2009-03-03,65,65,324,754,550,TSMC,NVIDIA,412,59
Quadro FX 3600M,GPU,2008-02-23,65,70,324,754,500,TSMC,NVIDIA,467,365
Quadro FX 3600M,GPU,2008-02-23,65,70,324,754,500,TSMC,NVIDIA,467,365
GeForce 9800M GTX,GPU,2008-07-15,65,75,324,754,500,TSMC,NVIDIA,462,117
GeForce GT 230,GPU,2009-04-27,55,75,260,754,500,TSMC,NVIDIA,322,80
GeForce GT 330,GPU,2010-02-02,65,75,324,754,500,TSMC,NVIDIA,422,119
