Product,Type,Release Date,Process Size (nm),TDP (W),Cores,Freq (MHz),Foundry,Vendor,Benchmark
AMD Athlon 64 3400+,CPU,2005-08-01,130,82,1,2200,Unknown,AMD,375
AMD Athlon 64 3400+,CPU,2005-08-01,130,62,1,2200,Unknown,AMD,375
AMD Athlon 64 3400+,CPU,2001-01-01,90,67,1,2200,Unknown,AMD,375
AMD Athlon 64 3400+,CPU,2001-01-01,130,89,1,2400,Unknown,AMD,375
AMD Athlon 64 3400+,CPU,2004-04-27,130,89,1,2400,Unknown,AMD,375
AMD Athlon 64 3400+,CPU,2004-01-06,130,89,1,2200,Unknown,AMD,375
Intel Xeon 3.40GHz,CPU,2004-06-28,90,135,1,3400,Intel,Intel,375
AMD Athlon 64 3400+,CPU,2001-01-01,90,67,1,2400,Unknown,AMD,375
AMD Athlon 64 3300+,CPU,2004-04-27,130,89,1,2400,Unknown,AMD,375
AMD Athlon 64 3400+,CPU,2004-04-27,130,89,1,2200,Unknown,AMD,375
Intel Xeon 3.40GHz,CPU,2005-02-14,90,135,1,3400,Intel,Intel,375
AMD Athlon 64 3400+,CPU,2005-04-14,130,83,1,2200,Unknown,AMD,375
AMD Turion 64 ML-44,CPU,2006-01-04,90,35,1,2400,Unknown,AMD,384
Intel Atom E3825,CPU,2013-10-08,22,6,2,1333,Intel,Intel,385
Intel Core Duo L2300,CPU,2006-01-05,65,15,2,1500,Intel,Intel,387
AMD E1-1500,CPU,2013-01-06,40,18,2,1480,Unknown,AMD,390
AMD A4-1200,CPU,2013-05-23,32,4,2,1000,Unknown,AMD,391
AMD Opteron 148,CPU,2004-12-01,90,55,1,2200,Unknown,AMD,392
AMD Opteron 148,CPU,2003-11-17,130,89,1,2200,Unknown,AMD,392
AMD Opteron 148,CPU,2004-05-18,130,89,1,2200,Unknown,AMD,392
AMD Opteron 148,CPU,2005-08-02,90,85,1,2200,Unknown,AMD,392
Intel Celeron 807,CPU,2012-07-01,32,17,1,1500,Intel,Intel,392
AMD Opteron 148,CPU,2003-06-30,130,85,1,1400,Unknown,AMD,392
AMD Opteron 148,CPU,2005-08-02,90,85,1,2200,Unknown,AMD,392
AMD Opteron 150,CPU,2004-05-18,130,89,1,2400,Unknown,AMD,393
AMD Opteron 150,CPU,2005-08-02,90,85,1,2400,Unknown,AMD,393
AMD Opteron 150,CPU,2005-08-02,90,85,1,2400,Unknown,AMD,393
AMD Athlon 64 3700+,CPU,2005-04-14,130,83,1,2400,Unknown,AMD,394
AMD Athlon 64 3700+,CPU,2004-06-01,130,89,1,2400,Unknown,AMD,394
AMD Athlon 64 3700+,CPU,2005-08-01,130,82,1,2400,Unknown,AMD,394
AMD Athlon 64 3700+,CPU,2001-01-01,90,89,1,2200,Unknown,AMD,394
AMD Athlon 64 3700+,CPU,2004-05-04,90,89,1,2200,Unknown,AMD,394
AMD Athlon 64 3500+,CPU,2007-02-20,65,45,1,2200,Unknown,AMD,396
AMD Athlon 64 3500+,CPU,2001-01-01,90,67,1,2200,Unknown,AMD,396
AMD Athlon 64 3500+,CPU,2005-05-31,90,67,1,2200,Unknown,AMD,396
AMD Athlon 64 3500+,CPU,2007-02-20,90,62,1,2200,Unknown,AMD,396
AMD Athlon 64 3500+,CPU,2004-06-01,130,89,1,2200,Unknown,AMD,396
AMD Athlon 64 3500+,CPU,2004-10-14,90,67,1,2200,Unknown,AMD,396
AMD Athlon 64 3500+,CPU,2005-04-04,90,67,1,2200,Unknown,AMD,396
AMD Athlon 64 3500+,CPU,2007-02-20,90,59,1,2200,Unknown,AMD,396
AMD Athlon 64 3500+,CPU,2007-02-20,90,35,1,2200,Unknown,AMD,396
AMD Athlon 64 3500+,CPU,2006-05-23,90,62,1,2200,Unknown,AMD,396
AMD Athlon 64 3500+,CPU,2004-06-01,130,89,1,2200,Unknown,AMD,396
Intel Atom D525,CPU,2010-06-21,45,13,2,1834,Intel,Intel,399
AMD Sempron LE-1300,CPU,2007-10-08,65,45,1,2300,Unknown,AMD,400
AMD Turion 64 ML-42,CPU,2005-10-04,90,35,1,2400,Unknown,AMD,400
Intel Xeon 3.60GHz,CPU,2005-02-14,90,135,1,3600,Intel,Intel,403
Intel Xeon 3.60GHz,CPU,2004-06-28,90,135,1,3600,Intel,Intel,403
Intel Core Duo L2500,CPU,2006-09-03,65,15,2,1833,Intel,Intel,404
Intel Atom D510,CPU,2009-12-21,45,13,2,1667,Intel,Intel,404
AMD Athlon 64 FX-55,CPU,2003-09-23,130,89,1,2200,Unknown,AMD,404
Intel Core Duo L2500,CPU,2006-06-28,65,9,2,1200,Intel,Intel,404
AMD Athlon 64 FX-55,CPU,2004-03-18,130,89,1,2400,Unknown,AMD,404
AMD Athlon 64 FX-55,CPU,2004-06-01,130,89,1,2400,Unknown,AMD,404
AMD Athlon 64 FX-55,CPU,2004-10-10,130,104,1,2600,Unknown,AMD,404
AMD Athlon 64 FX-55,CPU,2004-10-10,90,104,1,2600,Unknown,AMD,404
Intel Core2 Duo U7500,CPU,2007-04-27,65,10,2,1073,Intel,Intel,405
Intel Core2 Duo U7500,CPU,2008-02-27,65,10,2,1073,Intel,Intel,405
AMD E1-2100,CPU,2014-02-01,32,9,2,1050,Unknown,AMD,407
AMD E1-2100,CPU,2013-05-23,32,9,2,1000,Unknown,AMD,407
Intel Atom D2550,CPU,2011-11-01,32,10,2,1867,Intel,Intel,408
Intel Core Duo T2500,CPU,2006-01-05,65,31,2,1992,Intel,Intel,408
AMD E-350,CPU,2011-01-04,40,18,2,1600,Unknown,AMD,414
AMD Athlon LE-1660,CPU,2008-05-01,65,45,1,2800,Unknown,AMD,416
Intel Celeron N2810,CPU,2013-09-11,22,7,2,2000,Intel,Intel,420
AMD E-450,CPU,2011-08-22,40,18,2,1650,Unknown,AMD,422
Intel Pentium D 915,CPU,2006-07-23,65,95,2,2800,Intel,Intel,423
Intel Xeon 3.00GHz,CPU,2003-07-14,130,97,1,3066,Intel,Intel,425
Intel Xeon 3.00GHz,CPU,2004-06-28,90,135,1,3000,Intel,Intel,425
Intel Xeon 3.00GHz,CPU,2003-07-14,130,97,1,3066,Intel,Intel,425
Intel Xeon 3.00GHz,CPU,2005-02-14,90,135,1,3000,Intel,Intel,425
Intel Celeron G440,CPU,2011-09-04,32,35,1,1600,Intel,Intel,426
AMD Opteron 152,CPU,2005-08-02,90,104,1,2600,Unknown,AMD,428
AMD Opteron 152,CPU,2005-08-02,90,104,1,2600,Unknown,AMD,428
Intel Atom N2800,CPU,2011-12-01,32,7,2,1867,Intel,Intel,429
AMD A4-1250,CPU,2013-05-23,32,8,2,1000,Unknown,AMD,432
AMD A4-1250,CPU,2013-10-18,32,8,2,1000,Unknown,AMD,432
Intel Core2 Duo T5200,CPU,2006-07-27,65,35,2,1600,Intel,Intel,438
AMD E2-1800,CPU,2012-06-06,40,18,2,1700,Unknown,AMD,442
Intel Celeron 450,CPU,2008-08-31,65,35,1,2200,Intel,Intel,445
Intel Core Duo T2600,CPU,2006-01-05,65,31,2,2166,Intel,Intel,450
Intel Celeron N2807,CPU,2014-02-23,22,4,2,1580,Intel,Intel,450
AMD Opteron 254,CPU,2004-05-18,130,89,1,2400,Unknown,AMD,451
AMD Opteron 254,CPU,2004-12-01,90,85,1,2400,Unknown,AMD,451
AMD Opteron 254,CPU,2005-08-01,90,92,1,2800,Unknown,AMD,451
AMD Opteron 154,CPU,2005-08-02,90,104,1,2800,Unknown,AMD,457
Intel Atom E3827,CPU,2010-09-14,45,4,2,1600,Intel,Intel,460
Intel Atom E3827,CPU,2013-10-08,22,8,2,1750,Intel,Intel,460
Intel Celeron N2820,CPU,2013-12-01,22,7,2,2170,Intel,Intel,469
Intel Celeron 847,CPU,2011-06-19,32,17,2,1100,Intel,Intel,470
AMD Sempron 140,CPU,2009-07-22,45,45,1,2700,Unknown,AMD,471
Intel Pentium SU4100,CPU,2009-09-01,45,10,2,1300,Intel,Intel,476
Intel Xeon 3.20GHz,CPU,2003-10-06,130,97,1,3200,Intel,Intel,478
Intel Xeon 3.20GHz,CPU,2004-06-28,90,135,1,3200,Intel,Intel,478
Intel Xeon 3.20GHz,CPU,2004-02-01,130,97,1,3200,Intel,Intel,478
Intel Xeon 3.20GHz,CPU,2005-02-14,90,135,1,3200,Intel,Intel,478
Intel Celeron N2806,CPU,2013-12-01,22,4,2,1580,Intel,Intel,479
Intel Celeron G465,CPU,2012-09-01,32,35,1,1900,Intel,Intel,480
AMD Athlon 64 3100+,CPU,2008-04-21,65,25,1,2000,Unknown,AMD,484
Intel Celeron E1200,CPU,2008-01-20,65,65,2,1600,Intel,Intel,492
Intel Atom D2700,CPU,2011-11-01,32,10,2,2133,Intel,Intel,492
Intel Pentium D 830,CPU,2005-05-26,90,130,2,3000,Intel,Intel,494
Intel Celeron G460,CPU,2011-12-12,32,35,1,1800,Intel,Intel,494
Intel Pentium D 830,CPU,2005-05-26,90,130,2,3200,Intel,Intel,494
Intel Pentium D 830,CPU,2005-05-26,90,130,2,2800,Intel,Intel,494
Intel Pentium D 830,CPU,2005-05-26,90,130,2,2800,Intel,Intel,494
Intel Pentium D 940,CPU,2006-01-16,65,130,2,3000,Intel,Intel,498
Intel Pentium D 940,CPU,2006-01-16,65,130,2,3200,Intel,Intel,498
AMD Sempron 150,CPU,2010-12-07,45,45,1,2900,Unknown,AMD,498
Intel Core Duo T2700,CPU,2006-06-28,65,31,2,2333,Intel,Intel,498
AMD Sempron 150,CPU,2010-09-01,45,45,1,2400,Unknown,AMD,498
AMD Sempron 130,CPU,2011-08-01,45,45,1,2600,Unknown,AMD,501
AMD E2-2000,CPU,2013-01-06,40,18,2,1750,Unknown,AMD,501
AMD Sempron 145,CPU,2010-09-01,45,45,1,2800,Unknown,AMD,505
Intel Core2 Duo T5500,CPU,2006-07-27,65,35,2,1667,Intel,Intel,513
AMD Athlon 64 FX-57,CPU,2005-06-27,90,104,1,2800,Unknown,AMD,517
AMD Turion X2 Ultra ZM-80,CPU,2008-06-01,65,32,2,2100,Unknown,AMD,521
Intel Celeron N2808,CPU,2014-05-22,22,4,2,1580,Intel,Intel,532
Intel Pentium U5400,CPU,2010-05-25,32,18,2,1200,Intel,Intel,538
Intel Celeron N2830,CPU,2014-02-23,22,7,2,2160,Intel,Intel,542
Intel Pentium E2140,CPU,2007-06-03,65,65,2,1600,Intel,Intel,549
Intel Core2 Duo E4300,CPU,2006-07-27,65,65,2,1800,Intel,Intel,561
AMD Athlon X2 6850e,CPU,2008-12-15,65,95,2,2700,Unknown,AMD,564
Intel Celeron 857,CPU,2011-07-01,32,17,2,1200,Intel,Intel,569
AMD Athlon X2 2300,CPU,2007-10-08,65,45,2,1900,Unknown,AMD,570
Intel Celeron N2840,CPU,2014-05-22,22,7,2,2160,Intel,Intel,580
AMD Athlon X2 2350,CPU,2007-10-08,65,45,2,2100,Unknown,AMD,591
Intel Core2 Duo E6300,CPU,2006-07-27,65,65,2,1866,Intel,Intel,592
AMD Opteron 1212,CPU,2013-05-29,28,17,2,2000,Unknown,AMD,593
Intel Atom S1260,CPU,2012-12-11,32,8,2,1600,Intel,Intel,596
AMD Athlon 64 X2 3600+,CPU,2006-12-05,65,65,2,1900,Unknown,AMD,596
AMD Athlon 64 X2 3600+,CPU,2006-08-01,90,65,2,2000,Unknown,AMD,596
Intel Atom S1260,CPU,2012-12-11,32,9,2,2000,Intel,Intel,596
AMD Athlon 64 X2 3600+,CPU,2001-01-01,90,89,2,2000,Unknown,AMD,596
Intel Atom S1260,CPU,2012-12-11,32,6,2,1600,Intel,Intel,596
Intel Core2 Duo E6320,CPU,2007-04-01,65,65,2,1860,Intel,Intel,597
AMD E1-2500,CPU,2013-05-23,32,15,2,1400,Unknown,AMD,597
Intel Xeon 5110,CPU,2006-06-26,65,65,2,1600,Intel,Intel,600
AMD Athlon II X2 250u,CPU,2009-10-20,45,25,2,1600,Unknown,AMD,604
AMD Athlon 64 X2 QL-65,CPU,2008-12-01,65,35,2,2100,Unknown,AMD,609
AMD Athlon 64 X2 3800+,CPU,2006-05-23,90,35,2,2000,Unknown,AMD,611
AMD Athlon 64 X2 3800+,CPU,2006-05-23,90,65,2,2000,Unknown,AMD,611
AMD Athlon 64 X2 3800+,CPU,2005-08-01,90,89,2,2000,Unknown,AMD,611
AMD Athlon 64 X2 3800+,CPU,2006-05-23,90,89,2,2000,Unknown,AMD,611
AMD Athlon 64 X2 3800+,CPU,2005-08-01,90,89,2,2000,Unknown,AMD,611
Intel Celeron 877,CPU,2012-07-01,32,17,2,1400,Intel,Intel,615
Intel Pentium 957,CPU,2011-06-19,32,17,2,1200,Intel,Intel,622
AMD Turion X2 RM-74,CPU,2008-12-01,65,35,2,2200,Unknown,AMD,623
AMD Turion X2 RM-70,CPU,2006-06-01,65,31,2,2000,Unknown,AMD,624
Intel Pentium 967,CPU,2011-10-02,32,17,2,1300,Intel,Intel,626
Intel Core2 Duo E4400,CPU,2007-07-22,65,65,2,2000,Intel,Intel,632
Intel Pentium 2129Y,CPU,2012-09-01,22,10,2,1100,Intel,Intel,635
AMD Turion X2 RM-77,CPU,2008-12-01,65,35,2,2300,Unknown,AMD,635
Intel Pentium E2160,CPU,2007-06-03,65,65,2,1800,Intel,Intel,636
AMD A4-3320M,CPU,2011-12-20,32,35,2,2000,Unknown,AMD,640
Intel Core2 Duo T7100,CPU,2007-05-27,65,35,2,1800,Intel,Intel,643
Intel Core2 Duo T5600,CPU,2006-07-27,65,35,2,1833,Intel,Intel,645
Intel Celeron B800,CPU,2011-06-19,32,35,2,1500,Intel,Intel,649
Intel Celeron E1500,CPU,2008-11-30,65,65,2,2200,Intel,Intel,649
Intel Atom Z3740,CPU,2013-09-27,22,2,4,1333,Intel,Intel,651
AMD Turion X2 Ultra ZM-82,CPU,2008-06-01,65,35,2,2200,Unknown,AMD,654
AMD Athlon 64 X2 4000+,CPU,2006-05-23,90,89,2,2000,Unknown,AMD,661
AMD Athlon 64 X2 4000+,CPU,2006-05-23,90,65,2,2000,Unknown,AMD,661
AMD Athlon 64 X2 4000+,CPU,2006-12-05,65,65,2,2100,Unknown,AMD,661
AMD Athlon II X2 260u,CPU,2009-10-20,45,25,2,1800,Unknown,AMD,663
AMD E2-3000M,CPU,2011-12-20,32,35,2,1800,Unknown,AMD,665
AMD Turion X2 RM-72,CPU,2008-09-01,65,35,2,2100,Unknown,AMD,666
Intel Celeron E1400,CPU,2008-04-20,65,65,2,2000,Intel,Intel,671
AMD Athlon 64 X2 4200+,CPU,2006-05-23,90,89,2,2200,Unknown,AMD,672
AMD Athlon 64 X2 4200+,CPU,2006-05-23,90,89,2,2200,Unknown,AMD,672
AMD Athlon 64 X2 4200+,CPU,2006-12-01,65,65,2,2200,Unknown,AMD,672
AMD Athlon 64 X2 4200+,CPU,2006-05-23,90,65,2,2200,Unknown,AMD,672
AMD Athlon II X2 270u,CPU,2010-09-21,45,25,2,2000,Unknown,AMD,675
Intel Pentium D 950,CPU,2006-01-16,65,130,2,3400,Intel,Intel,679
Intel Pentium D 950,CPU,2006-01-16,65,130,2,3460,Intel,Intel,679
AMD A4-3300M,CPU,2011-06-14,32,35,2,1900,Unknown,AMD,683
AMD Athlon X2 2400,CPU,2007-10-08,65,45,2,2300,Unknown,AMD,688
Intel Core2 Duo T7250,CPU,2007-09-27,65,35,2,2000,Intel,Intel,688
AMD Turion X2 Ultra ZM-87,CPU,2008-06-01,65,35,2,2400,Unknown,AMD,689
AMD Turion X2 Ultra ZM-87,CPU,2008-12-01,65,35,2,2500,Unknown,AMD,689
AMD Athlon 64 X2 4400+,CPU,2006-05-23,90,65,2,2200,Unknown,AMD,691
AMD Athlon 64 X2 4400+,CPU,2006-05-23,90,110,2,2200,Unknown,AMD,691
AMD Athlon 64 X2 4400+,CPU,2006-05-23,90,89,2,2200,Unknown,AMD,691
AMD Athlon 64 X2 4400+,CPU,2006-12-05,65,65,2,2300,Unknown,AMD,691
Intel Core2 Duo T7300,CPU,2006-07-27,65,35,2,2000,Intel,Intel,693
AMD Opteron 185,CPU,2006-03-06,90,110,2,2600,Unknown,AMD,695
AMD Turion X2 Ultra ZM-86,CPU,2008-06-01,65,35,2,2400,Unknown,AMD,695
Intel Pentium E2210,CPU,2009-06-01,45,65,2,2200,Intel,Intel,702
Intel Core2 Duo T7400,CPU,2006-07-27,65,35,2,2166,Intel,Intel,702
AMD Turion X2 RM-75,CPU,2008-12-01,65,35,2,2200,Unknown,AMD,708
AMD Athlon 64 FX-60,CPU,2006-01-09,90,110,2,2600,Unknown,AMD,709
Intel Celeron E1600,CPU,2009-05-31,65,65,2,2400,Intel,Intel,712
Intel Core2 Duo E6420,CPU,2007-04-01,65,65,2,2133,Intel,Intel,714
Intel Pentium T4200,CPU,2009-01-01,45,35,2,2000,Intel,Intel,715
AMD Athlon 64 X2 4600+,CPU,2006-05-23,90,65,2,2400,Unknown,AMD,716
AMD Athlon 64 X2 4600+,CPU,2008-04-22,65,65,2,2400,Unknown,AMD,716
AMD Athlon 64 X2 4600+,CPU,2006-05-23,90,110,2,2400,Unknown,AMD,716
AMD Athlon 64 X2 4600+,CPU,2006-05-23,90,89,2,2400,Unknown,AMD,716
AMD Athlon 64 X2 4600+,CPU,2006-05-23,90,89,2,2400,Unknown,AMD,716
Intel Core2 Duo E4500,CPU,2007-07-22,65,65,2,2200,Intel,Intel,718
AMD Athlon 64 X2 4800+,CPU,2006-05-23,90,110,2,2400,Unknown,AMD,722
AMD Athlon 64 X2 4800+,CPU,2006-05-23,90,65,2,2400,Unknown,AMD,722
AMD Athlon 64 X2 4800+,CPU,2006-05-23,90,89,2,2400,Unknown,AMD,722
AMD Athlon 64 X2 4800+,CPU,2006-12-05,65,65,2,2500,Unknown,AMD,722
Intel Core2 Duo T7200,CPU,2006-07-27,65,35,2,2000,Intel,Intel,723
AMD E2-3000,CPU,2013-05-23,32,15,2,1650,Unknown,AMD,726
Intel Celeron 887,CPU,2012-09-01,32,17,2,1500,Intel,Intel,727
AMD A4-3305M,CPU,2011-06-14,32,35,2,1900,Unknown,AMD,727
AMD Turion X2 Ultra ZM-85,CPU,2008-09-01,65,35,2,2300,Unknown,AMD,730
Intel Celeron 2961Y,CPU,2013-12-01,22,12,2,1100,Intel,Intel,732
Intel Atom Z3770,CPU,2013-09-27,22,8,4,1467,Intel,Intel,738
Intel Celeron N2910,CPU,2013-09-11,22,7,4,1600,Intel,Intel,742
Intel Pentium D 960,CPU,2006-05-02,65,130,2,3600,Intel,Intel,743
AMD Athlon 5050e,CPU,2008-10-21,65,45,2,2600,Unknown,AMD,748
Intel Pentium E2200,CPU,2007-12-02,65,65,2,2200,Intel,Intel,752
AMD A4-3330MX,CPU,2011-12-20,32,45,2,2200,Unknown,AMD,752
AMD A4-5150M,CPU,2013-06-01,32,17,2,2000,Unknown,AMD,753
AMD A4-5150M,CPU,2013-03-12,32,35,2,2700,Unknown,AMD,753
AMD Athlon 64 X2 5000+,CPU,2006-09-06,90,65,2,2600,Unknown,AMD,760
AMD Athlon 64 X2 5000+,CPU,2007-09-25,65,65,2,2600,Unknown,AMD,760
AMD Athlon 64 X2 5000+,CPU,2006-12-05,65,65,2,2600,Unknown,AMD,760
AMD Athlon 64 X2 5000+,CPU,2006-05-23,90,89,2,2600,Unknown,AMD,760
AMD Athlon 64 X2 5000+,CPU,2007-02-01,90,65,2,2600,Unknown,AMD,760
Intel Pentium T4400,CPU,2009-12-01,45,35,2,2200,Intel,Intel,762
Intel Xeon 5120,CPU,2006-06-26,65,65,2,1866,Intel,Intel,763
Intel Pentium P6000,CPU,2010-06-20,32,35,2,1877,Intel,Intel,765
AMD A4-3310MX,CPU,2011-06-14,32,35,2,2100,Unknown,AMD,769
Intel Core2 Duo T7600,CPU,2006-12-27,65,35,2,2333,Intel,Intel,770
Intel Core2 Duo T7600,CPU,2006-07-27,65,35,2,2333,Intel,Intel,770
Intel Pentium T4300,CPU,2009-04-01,45,35,2,2100,Intel,Intel,771
Intel Core2 Duo E6400,CPU,2006-07-27,65,65,2,2133,Intel,Intel,772
Intel Celeron B810,CPU,2011-03-01,32,35,2,1600,Intel,Intel,775
Intel Celeron B820,CPU,2012-07-01,32,35,2,1700,Intel,Intel,789
Intel Pentium 997,CPU,2012-09-01,32,17,2,1600,Intel,Intel,789
AMD Turion X2 Ultra ZM-84,CPU,2008-09-01,65,35,2,2300,Unknown,AMD,793
Intel Pentium E2220,CPU,2008-03-02,65,65,2,2400,Intel,Intel,793
Intel Pentium T4500,CPU,2010-01-01,45,35,2,2300,Intel,Intel,793
Intel Xeon 5130,CPU,2006-06-26,65,65,2,2000,Intel,Intel,795
AMD A6-4455M,CPU,2012-05-15,32,17,1,2100,Unknown,AMD,795
AMD Athlon 64 X2 5800+,CPU,2008-04-01,65,89,2,3000,Unknown,AMD,797
Intel Xeon E5503,CPU,2010-03-16,45,80,2,2000,Intel,Intel,804
Intel Core2 Duo E4700,CPU,2008-03-02,65,65,2,2600,Intel,Intel,811
AMD Athlon 64 X2 5200+,CPU,2006-09-06,90,89,2,2600,Unknown,AMD,812
Intel Celeron B830,CPU,2012-09-01,32,35,2,1800,Intel,Intel,812
AMD Athlon 64 X2 5200+,CPU,2006-09-06,90,65,2,2600,Unknown,AMD,812
AMD Athlon 64 X2 5200+,CPU,2007-10-08,65,65,2,2700,Unknown,AMD,812
AMD A4-4355M,CPU,2012-09-27,32,17,2,1900,Unknown,AMD,818
Intel Core2 Extreme X6800,CPU,2006-11-01,65,130,2,2666,Intel,Intel,823
Intel Core2 Duo T7500,CPU,2007-05-27,65,35,2,2200,Intel,Intel,823
Intel Core2 Extreme X6800,CPU,2006-07-27,65,75,2,2933,Intel,Intel,823
Intel Core2 Extreme X6800,CPU,2007-04-09,65,130,2,2933,Intel,Intel,823
Intel Core2 Extreme X6800,CPU,2007-07-15,65,130,2,3000,Intel,Intel,823
Intel Core i3-2357M,CPU,2011-06-01,32,17,2,1300,Intel,Intel,824
Intel Core2 Duo T7700,CPU,2007-05-27,65,35,2,2400,Intel,Intel,825
Intel Celeron E3400,CPU,2010-01-17,45,65,2,2600,Intel,Intel,829
Intel Core2 Duo E4600,CPU,2007-10-21,65,65,2,2400,Intel,Intel,829
Intel Pentium B940,CPU,2011-06-19,32,35,2,2000,Intel,Intel,832
Intel Core i3-2367M,CPU,2011-10-01,32,17,2,1400,Intel,Intel,832
Intel Celeron 2955U,CPU,2013-09-01,22,15,2,1400,Intel,Intel,835
Intel Celeron 2955U,CPU,2013-09-01,22,15,2,1400,Intel,Intel,835
Intel Celeron E3300,CPU,2009-08-30,45,65,2,2500,Intel,Intel,837
Intel Xeon E5502,CPU,2009-03-30,45,80,2,1866,Intel,Intel,837
Intel Xeon 5150,CPU,2006-06-26,65,65,2,2666,Intel,Intel,840
Intel Core i3-2377M,CPU,2012-09-01,32,17,2,1500,Intel,Intel,845
Intel Pentium P6200,CPU,2010-09-26,32,35,2,2133,Intel,Intel,847
Intel Pentium 3560Y,CPU,2013-09-01,22,12,2,1200,Intel,Intel,849
Intel Pentium P6100,CPU,2010-09-26,32,35,2,2000,Intel,Intel,850
Intel Xeon 5140,CPU,2006-06-26,65,65,2,2333,Intel,Intel,857
Intel Celeron E3200,CPU,2009-08-30,45,65,2,2400,Intel,Intel,860
Intel Pentium E5200,CPU,2008-08-31,45,65,2,2500,Intel,Intel,867
Intel Core2 Duo E6550,CPU,2007-07-01,65,65,2,2333,Intel,Intel,875
Intel Pentium G620T,CPU,2011-05-22,32,35,2,2200,Intel,Intel,896
Intel Core2 Duo E6600,CPU,2006-07-27,65,65,2,2400,Intel,Intel,901
Intel Xeon 3.73GHz,CPU,2005-03-29,90,135,2,3333,Intel,Intel,901
Intel Pentium E5300,CPU,2008-11-30,45,65,2,2600,Intel,Intel,906
AMD Athlon 64 X2 5400+,CPU,2006-12-12,90,89,2,2800,Unknown,AMD,910
Intel Pentium B960,CPU,2011-10-02,32,35,2,2200,Intel,Intel,910
AMD Athlon 64 X2 5400+,CPU,2008-02-01,65,65,2,2800,Unknown,AMD,910
AMD Athlon 64 X2 5400+,CPU,2008-01-01,65,65,2,2800,Unknown,AMD,910
Intel Xeon 5148,CPU,2006-06-26,65,40,2,2333,Intel,Intel,912
Intel Celeron 3205U,CPU,2015-03-01,14,15,2,1500,Intel,Intel,918
Intel Celeron N2920,CPU,2013-12-01,22,7,4,1860,Intel,Intel,918
AMD Athlon 64 X2 6000+,CPU,2007-08-20,65,89,2,3100,Unknown,AMD,919
AMD Athlon 64 X2 6000+,CPU,2007-02-20,90,125,2,3000,Unknown,AMD,919
AMD Athlon 64 X2 5600+,CPU,2006-12-12,90,89,2,2800,Unknown,AMD,923
AMD Athlon 64 X2 5600+,CPU,2008-02-01,65,65,2,2900,Unknown,AMD,923
Intel Celeron B840,CPU,2011-07-01,32,35,2,1900,Intel,Intel,930
Intel Celeron E3500,CPU,2010-08-29,45,65,2,2700,Intel,Intel,935
AMD Athlon II X2 240,CPU,2009-07-23,45,65,2,2800,Unknown,AMD,935
Intel Pentium E5400,CPU,2009-01-18,45,65,2,2700,Intel,Intel,936
AMD Athlon 64 FX-62,CPU,2006-05-23,90,125,2,2800,Unknown,AMD,943
Intel Core2 Duo E7200,CPU,2008-04-20,45,65,2,2533,Intel,Intel,947
AMD E2-3200,CPU,2011-09-07,32,65,2,2400,Unknown,AMD,953
AMD Athlon II X2 215,CPU,2009-10-20,45,65,2,2700,Unknown,AMD,959
Intel Xeon 5160,CPU,2006-06-26,65,80,2,3000,Intel,Intel,963
Intel Xeon 5160,CPU,2006-05-23,65,95,2,2667,Intel,Intel,963
Intel Core2 Duo E7300,CPU,2008-08-10,45,65,2,2667,Intel,Intel,964
AMD Athlon 64 X2 6400+,CPU,2006-05-23,90,89,2,2200,Unknown,AMD,967
AMD Athlon 64 X2 6400+,CPU,2007-08-20,90,125,2,3200,Unknown,AMD,967
AMD A4-4300M,CPU,2012-05-15,32,35,1,2500,Unknown,AMD,971
AMD A4-3300,CPU,2011-09-07,32,65,2,2500,Unknown,AMD,971
AMD Athlon 64 FX-74,CPU,2006-11-30,90,125,2,3000,Unknown,AMD,972
AMD Athlon 64 FX-74,CPU,2006-11-01,90,125,2,3200,Unknown,AMD,972
AMD Athlon 64 FX-74,CPU,2006-11-30,90,125,2,2600,Unknown,AMD,972
AMD Phenom X3 8550,CPU,2008-04-23,65,95,3,2200,Unknown,AMD,976
AMD Phenom X3 8550,CPU,2008-10-21,65,95,3,2500,Unknown,AMD,976
Intel Core i3-2340UE,CPU,2011-06-01,32,17,2,1300,Intel,Intel,976
Intel Core2 Duo T7800,CPU,2007-09-27,65,35,2,2600,Intel,Intel,976
AMD Phenom X3 8550,CPU,2008-04-23,65,95,3,2400,Unknown,AMD,976
AMD Phenom X3 8550,CPU,2008-09-08,65,65,3,1900,Unknown,AMD,976
AMD Athlon II X2 240e,CPU,2009-10-20,45,45,2,2800,Unknown,AMD,980
Intel Core2 Duo E7400,CPU,2008-10-10,45,65,2,2800,Intel,Intel,980
Intel Pentium B950,CPU,2011-06-19,32,35,2,2100,Intel,Intel,984
Intel Pentium 2117U,CPU,2012-09-01,22,17,2,1800,Intel,Intel,998
Intel Pentium 2117U,CPU,2012-09-01,22,17,2,1800,Intel,Intel,998
Intel Pentium E6300,CPU,2009-05-09,45,65,2,2800,Intel,Intel,1000
Intel Celeron N2930,CPU,2014-02-23,22,7,4,1830,Intel,Intel,1003
Intel Core2 Duo E6750,CPU,2007-07-01,65,65,2,2667,Intel,Intel,1010
Intel Pentium E5500,CPU,2010-04-18,45,65,2,2800,Intel,Intel,1010
Intel Core2 Duo E6700,CPU,2006-07-27,65,65,2,2667,Intel,Intel,1012
Intel Pentium E5700,CPU,2010-08-08,45,65,2,3000,Intel,Intel,1017
